participant_number;epoch;session;task;correct;count;participant
20;3;2;mixed;123;216;15
20;4;1;mixed;80;216;15
20;4;2;mixed;127;216;15
20;5;1;mixed;90;216;15
20;5;2;mixed;104;216;15
20;6;1;mixed;111;216;15
20;6;2;mixed;109;216;15
21;1;1;mixed;39;216;16
21;1;2;mixed;41;216;16
21;2;1;mixed;27;216;16
21;2;2;mixed;41;216;16
21;3;1;mixed;38;216;16
21;3;2;mixed;41;216;16
21;4;1;mixed;42;216;16
21;4;2;mixed;42;216;16
21;5;1;mixed;39;216;16
21;5;2;mixed;39;216;16
21;6;1;mixed;46;216;16
21;6;2;mixed;34;216;16
22;1;1;mixed;41;216;17
22;1;2;mixed;41;216;17
22;2;1;mixed;30;216;17
22;2;2;mixed;48;216;17
22;3;1;mixed;46;216;17
22;3;2;mixed;46;216;17
22;4;1;mixed;50;216;17
22;4;2;mixed;45;216;17
22;5;1;mixed;40;216;17
22;5;2;mixed;55;216;17
22;6;1;mixed;47;216;17
22;6;2;mixed;54;216;17
23;1;1;mixed;42;216;18
23;1;2;mixed;46;216;18
23;2;1;mixed;37;216;18
23;2;2;mixed;57;216;18
23;3;1;mixed;31;216;18
23;3;2;mixed;42;216;18
23;4;1;mixed;43;216;18
23;4;2;mixed;47;216;18
23;5;1;mixed;32;216;18
23;5;2;mixed;49;216;18
23;6;1;mixed;36;216;18
23;6;2;mixed;35;216;18
1;1;1;gray;110;216;19
1;1;2;gray;169;216;19
1;2;1;gray;124;216;19
1;2;2;gray;158;216;19
1;3;1;gray;138;216;19
1;3;2;gray;152;216;19
1;4;1;gray;138;216;19
1;4;2;gray;155;216;19
1;5;1;gray;148;216;19
1;5;2;gray;158;216;19
1;6;1;gray;144;216;19
1;6;2;gray;160;216;19
2;1;1;gray;31;216;20
2;1;2;gray;100;216;20
2;2;1;gray;50;216;20
2;2;2;gray;85;216;20
2;3;1;gray;36;216;20
2;3;2;gray;84;216;20
2;4;1;gray;47;216;20
2;4;2;gray;66;216;20
2;5;1;gray;55;216;20
2;5;2;gray;66;216;20
2;6;1;gray;60;216;20
2;6;2;gray;74;216;20
3;1;1;gray;64;216;21
3;1;2;gray;88;216;21
3;2;1;gray;72;216;21
3;2;2;gray;94;216;21
3;3;1;gray;100;216;21
3;3;2;gray;97;216;21
3;4;1;gray;109;216;21
3;4;2;gray;109;216;21
3;5;1;gray;104;216;21
3;5;2;gray;113;216;21
3;6;1;gray;101;216;21
3;6;2;gray;122;216;21
4;1;1;gray;150;216;22
4;1;2;gray;140;216;22
4;2;1;gray;157;216;22
4;2;2;gray;130;216;22
4;3;1;gray;143;216;22
4;3;2;gray;99;216;22
4;4;1;gray;139;216;22
4;4;2;gray;116;216;22
4;5;1;gray;123;216;22
4;5;2;gray;96;216;22
4;6;1;gray;107;216;22
4;6;2;gray;122;216;22
5;1;1;gray;73;216;23
5;1;2;gray;102;216;23
5;2;1;gray;88;216;23
5;2;2;gray;84;216;23
5;3;1;gray;78;216;23
5;3;2;gray;93;216;23
5;4;1;gray;92;216;23
5;4;2;gray;103;216;23
5;5;1;gray;103;216;23
5;5;2;gray;101;216;23
5;6;1;gray;92;216;23
5;6;2;gray;94;216;23
6;1;1;gray;78;216;24
6;1;2;gray;132;216;24
6;2;1;gray;66;216;24
6;2;2;gray;152;216;24
6;3;1;gray;74;216;24
6;3;2;gray;183;216;24
6;4;1;gray;104;216;24
6;4;2;gray;178;216;24
6;5;1;gray;94;216;24
6;5;2;gray;170;216;24
6;6;1;gray;82;216;24
6;6;2;gray;179;216;24
7;1;1;gray;43;216;25
7;1;2;gray;56;216;25
7;2;1;gray;46;216;25
7;2;2;gray;60;216;25
7;3;1;gray;42;216;25
7;3;2;gray;45;216;25
7;4;1;gray;51;216;25
7;4;2;gray;63;216;25
7;5;1;gray;47;216;25
7;5;2;gray;42;216;25
7;6;1;gray;54;216;25
7;6;2;gray;55;216;25
8;1;1;gray;61;216;26
8;1;2;gray;89;216;26
8;2;1;gray;73;216;26
8;2;2;gray;103;216;26
8;3;1;gray;64;216;26
8;3;2;gray;76;216;26
8;4;1;gray;64;216;26
8;4;2;gray;78;216;26
8;5;1;gray;72;216;26
8;5;2;gray;64;216;26
8;6;1;gray;75;216;26
8;6;2;gray;69;216;26
9;1;1;gray;47;216;27
9;1;2;gray;74;216;27
9;2;1;gray;46;216;27
9;2;2;gray;64;216;27
9;3;1;gray;75;216;27
9;3;2;gray;78;216;27
9;4;1;gray;63;216;27
9;4;2;gray;72;216;27
9;5;1;gray;49;216;27
9;5;2;gray;63;216;27
9;6;1;gray;39;216;27
9;6;2;gray;61;216;27
10;1;1;gray;86;216;28
10;1;2;gray;100;216;28
10;2;1;gray;88;216;28
10;2;2;gray;96;216;28
10;3;1;gray;101;216;28
10;3;2;gray;124;216;28
10;4;1;gray;105;216;28
10;4;2;gray;120;216;28
10;5;1;gray;91;216;28
10;5;2;gray;125;216;28
10;6;1;gray;91;216;28
10;6;2;gray;120;216;28
11;1;1;gray;37;216;29
11;1;2;gray;44;216;29
11;2;1;gray;39;216;29
11;2;2;gray;50;216;29
11;3;1;gray;35;216;29
11;3;2;gray;40;216;29
11;4;1;gray;35;216;29
11;4;2;gray;45;216;29
11;5;1;gray;47;216;29
11;5;2;gray;32;216;29
11;6;1;gray;34;216;29
11;6;2;gray;43;216;29
12;1;1;gray;110;216;30
12;1;2;gray;87;216;30
12;2;1;gray;72;216;30
12;2;2;gray;84;216;30
12;3;1;gray;65;216;30
12;3;2;gray;72;216;30
12;4;1;gray;69;216;30
12;4;2;gray;59;216;30
12;5;1;gray;52;216;30
12;5;2;gray;58;216;30
12;6;1;gray;49;216;30
12;6;2;gray;89;216;30
13;1;1;gray;57;216;31
13;1;2;gray;98;216;31
13;2;1;gray;55;216;31
13;2;2;gray;148;216;31
13;3;1;gray;68;216;31
13;3;2;gray;147;216;31
13;4;1;gray;83;216;31
13;4;2;gray;134;216;31
13;5;1;gray;80;216;31
13;5;2;gray;158;216;31
13;6;1;gray;115;216;31
13;6;2;gray;142;216;31
14;1;1;gray;90;216;32
14;1;2;gray;109;216;32
14;2;1;gray;71;216;32
14;2;2;gray;101;216;32
14;3;1;gray;59;216;32
14;3;2;gray;91;216;32
14;4;1;gray;70;216;32
14;4;2;gray;92;216;32
14;5;1;gray;68;216;32
14;5;2;gray;84;216;32
14;6;1;gray;80;216;32
14;6;2;gray;98;216;32
17;1;1;gray;83;216;33
17;1;2;gray;112;216;33
17;2;1;gray;122;216;33
17;2;2;gray;130;216;33
17;3;1;gray;125;216;33
17;3;2;gray;116;216;33
17;4;1;gray;132;216;33
17;4;2;gray;131;216;33
17;5;1;gray;133;216;33
17;5;2;gray;131;216;33
17;6;1;gray;126;216;33
17;6;2;gray;132;216;33
18;1;1;gray;59;216;34
18;1;2;gray;106;216;34
18;2;1;gray;69;216;34
18;2;2;gray;108;216;34
18;3;1;gray;63;216;34
18;3;2;gray;93;216;34
18;4;1;gray;65;216;34
18;4;2;gray;80;216;34
18;5;1;gray;75;216;34
18;5;2;gray;94;216;34
18;6;1;gray;66;216;34
18;6;2;gray;82;216;34
19;1;1;gray;36;216;35
19;1;2;gray;38;216;35
19;2;1;gray;34;216;35
19;2;2;gray;45;216;35
19;3;1;gray;37;216;35
19;3;2;gray;46;216;35
19;4;1;gray;37;216;35
19;4;2;gray;40;216;35
19;5;1;gray;29;216;35
19;5;2;gray;43;216;35
19;6;1;gray;53;216;35
19;6;2;gray;40;216;35
1;1;1;color;58;216;36
1;1;2;color;79;216;36
1;2;1;color;53;216;36
1;2;2;color;91;216;36
1;3;1;color;63;216;36
1;3;2;color;97;216;36
1;4;1;color;71;216;36
1;4;2;color;85;216;36
1;5;1;color;63;216;36
1;5;2;color;75;216;36
1;6;1;color;46;216;36
1;6;2;color;107;216;36
2;1;1;color;118;216;37
2;1;2;color;147;216;37
2;2;1;color;135;216;37
2;2;2;color;131;216;37
2;3;1;color;133;216;37
2;3;2;color;142;216;37
2;4;1;color;103;216;37
2;4;2;color;140;216;37
2;5;1;color;128;216;37
